movie_id,primary_title,runtime_minutes,genres,averagerating,numvotes
tt1671728,Soka Afrika,74.0,"Biography,Documentary,News",8.5,21
tt1673732,Break Clause,,"Drama,Thriller",8.0,20
tt1674746,Tumaini,98.0,Drama,6.6,10
tt1676132,Max Romer: Appalachian Justice,75.0,"Action,Comedy",7.7,6
tt1678037,A Holiday Heist,90.0,"Comedy,Family,Romance",4.4,275
tt1678052,Mosquito-Man,79.0,"Action,Adventure,Comedy",5.2,349
tt1679290,Shuttlecock Boys,76.0,"Comedy,Drama",6.1,108
tt1680045,360,110.0,"Drama,Thriller",6.2,15096
tt1681370,The Algerian,99.0,"Action,Romance,Thriller",5.3,195
tt1682178,Nicky Newark,138.0,Drama,6.9,138
tt1683040,GlassTiger 3,107.0,Comedy,6.5,2826
tt1683919,No Way Out,79.0,"Action,Drama",4.3,73
tt1686326,The Casserole Club,95.0,Drama,4.8,113
tt1693106,Angry White Man,88.0,Comedy,5.8,48
tt1695793,Love U... Mr. Kalakaar!,152.0,"Drama,Romance",5.8,395
tt1700274,Romans d'ados 2002-2008: 3. Les illusions perdues,98.0,"Documentary,Family",8.1,9
tt1701202,1 Message,152.0,Drama,7.6,78
tt1702016,We the Party,105.0,Comedy,4.2,757
tt1703923,Vinyl,85.0,Comedy,6.0,657
tt1703958,Ek Main Aur Ekk Tu,110.0,"Comedy,Drama,Romance",5.8,5997
tt1705877,Kochikame - The Movie: Save the Kachidiki Bridge!,112.0,"Comedy,Drama",6.6,52
tt1706450,The Kingdom of Solomon,110.0,"Action,Drama,History",6.6,3321
tt1709653,Earthbound,93.0,"Comedy,Fantasy,Romance",5.6,602
tt1709657,Far Marfa,86.0,"Comedy,Drama",8.1,75
tt1709714,Naufragio,95.0,"Drama,Fantasy,Mystery",6.7,75
tt1713439,Addicted to Love,,"Comedy,Drama,Romance",6.0,9
tt1714206,The Spectacular Now,95.0,"Comedy,Drama,Romance",7.1,133887
tt1715352,The Inner Room,82.0,"Horror,Mystery,Thriller",2.9,257
tt1716746,Heinrich Kieber - Datendieb,52.0,Documentary,7.7,6
tt1717690,The Amateur Monster Movie,99.0,"Comedy,Horror",6.5,86
tt1717736,Vinyl,80.0,"Drama,Romance",7.2,8
tt1719496,Into Paradiso,,Comedy,6.4,160
tt1719671,The Golden Pomegranate,104.0,Drama,6.9,18
tt1720161,Messina High,,"Comedy,Drama,Romance",6.4,10
tt1720293,Worst in Show,59.0,Documentary,6.4,51
tt1721131,Wangliang's Ideal,119.0,Drama,6.4,13
tt1721494,"Few Options, All Bad",90.0,"Crime,Drama",6.1,458
tt1721680,Herman & Shelly,76.0,Romance,6.9,15
tt1725995,Hello Stranger,130.0,"Comedy,Romance",7.6,2309
tt1726589,L!fe Happens,100.0,Comedy,5.6,7229
tt1726661,Karate Girl,92.0,Action,5.2,422
tt1727519,Memlekette demokrasi var,,Comedy,4.1,458
